POINTID,ELEVATION,X_LOC,Y_LOC
319,427.8999939,2293636.664,4825459.757
320,552.0900269,2294136.664,4825459.757
321,592.1300049,2294636.664,4825459.757
322,426.8299866,2295136.664,4825459.757
323,550.4400024,2295636.664,4825459.757
324,661.8599853,2296136.664,4825459.757
325,569.6799927,2296636.664,4825459.757
326,532.6900024,2297136.664,4825459.757
327,508.7399902,2297636.664,4825459.757
328,525.6300049,2298136.664,4825459.757
329,518.9899902,2298636.664,4825459.757
330,497.519989,2299136.664,4825459.757
331,518.2000122,2299636.664,4825459.757
332,524.8599853,2300136.664,4825459.757
333,696.5800171,2300636.664,4825459.757
334,643.1099853,2301136.664,4825459.757
335,752.4299927,2301636.664,4825459.757
336,658.2999878,2302136.664,4825459.757
337,700.1599731,2302636.664,4825459.757
338,879.8400269,2303136.664,4825459.757
339,305.5299988,2290636.664,4824959.757
340,307.3599853,2291136.664,4824959.757
341,309.230011,2291636.664,4824959.757
342,314.6600037,2292136.664,4824959.757
343,328.2799988,2292636.664,4824959.757
344,354.2399902,2293136.664,4824959.757
345,403.230011,2293636.664,4824959.757
346,472.5499878,2294136.664,4824959.757
347,508.6900024,2294636.664,4824959.757
348,476.7900085,2295136.664,4824959.757
349,463.7999878,2295636.664,4824959.757
350,606.5999756,2296136.664,4824959.757
351,448.1600037,2296636.664,4824959.757
352,488.4500122,2297136.664,4824959.757
353,500.8399963,2297636.664,4824959.757
354,477.6600037,2298136.664,4824959.757
355,422.5100098,2298636.664,4824959.757
356,575.6099853,2299136.664,4824959.757
357,589.4000244,2299636.664,4824959.757
358,649.5900269,2300136.664,4824959.757
359,635.1300049,2300636.664,4824959.757
360,660.210022,2301136.664,4824959.757
361,596.3800049,2301636.664,4824959.757
362,699.5900269,2302136.664,4824959.757
363,798.0900269,2302636.664,4824959.757
364,298.3099976,2290636.664,4824459.757
365,301.6600037,2291136.664,4824459.757
366,303.4299927,2291636.664,4824459.757
367,308.7200012,2292136.664,4824459.757
368,318.6600037,2292636.664,4824459.757
369,331.7799988,2293136.664,4824459.757
370,364.5599976,2293636.664,4824459.757
371,369.7099915,2294136.664,4824459.757
372,436.7000122,2294636.664,4824459.757
373,437.8399963,2295136.664,4824459.757
374,446.8599853,2295636.664,4824459.757
375,508.769989,2296136.664,4824459.757
376,414.3500061,2296636.664,4824459.757
377,436.2099915,2297136.664,4824459.757
378,421.3299866,2297636.664,4824459.757
379,475.269989,2298136.664,4824459.757
380,593.210022,2298636.664,4824459.757
381,642.9400024,2299136.664,4824459.757
382,703.8599853,2299636.664,4824459.757
383,655.2800293,2300136.664,4824459.757
384,553.1699829,2300636.664,4824459.757
385,517.9500122,2301136.664,4824459.757
386,649.6699829,2301636.664,4824459.757
387,767.7399902,2302136.664,4824459.757
388,827.7700195,2302636.664,4824459.757
389,298.8299866,2288136.664,4823959.757
390,297.8599853,2288636.664,4823959.757
391,297.1000061,2289136.664,4823959.757
392,296.0100098,2290136.664,4823959.757
393,294.7000122,2290636.664,4823959.757
394,295.769989,2291136.664,4823959.757
395,298.3599853,2291636.664,4823959.757
396,301.5499878,2292136.664,4823959.757
397,308.3099976,2292636.664,4823959.757
398,314.1300049,2293136.664,4823959.757
399,324.3800049,2293636.664,4823959.757
400,345.3900147,2294136.664,4823959.757
401,372.3399963,2294636.664,4823959.757
402,388.5599976,2295136.664,4823959.757
403,404.2099915,2295636.664,4823959.757
404,363.9400024,2296136.664,4823959.757
405,468.7799988,2296636.664,4823959.757
406,513.3699951,2297136.664,4823959.757
407,496.769989,2297636.664,4823959.757
408,625.289978,2298136.664,4823959.757
409,585.4500122,2298636.664,4823959.757
410,601.6900024,2299136.664,4823959.757
411,566.6300049,2299636.664,4823959.757
412,541.9299927,2300136.664,4823959.757
413,474.0499878,2300636.664,4823959.757
414,612.6599731,2301136.664,4823959.757
415,714.9799805,2301636.664,4823959.757
416,723.6300049,2302136.664,4823959.757
417,688.25,2302636.664,4823959.757
418,740.6900024,2303136.664,4823959.757
419,796.4099731,2303636.664,4823959.757
420,303.8020019,2286136.664,4823459.757
421,301.4689941,2286636.664,4823459.757
422,299.5100098,2287136.664,4823459.757
423,298.7900085,2287636.664,4823459.757
424,298.1499939,2288136.664,4823459.757
425,297.3699951,2288636.664,4823459.757
426,296.5499878,2289136.664,4823459.757
427,295.7099915,2289636.664,4823459.757
428,295.25,2290136.664,4823459.757
429,294.8200073,2290636.664,4823459.757
430,294.6900024,2291136.664,4823459.757
431,295.3399963,2291636.664,4823459.757
432,299.3999939,2292136.664,4823459.757
433,304.6000061,2292636.664,4823459.757
434,311.4500122,2293136.664,4823459.757
435,319.769989,2293636.664,4823459.757
436,338.3699951,2294136.664,4823459.757
437,344.8299866,2294636.664,4823459.757
438,365.5299988,2295136.664,4823459.757
439,348.7900085,2295636.664,4823459.757
440,372.9200134,2296136.664,4823459.757
441,476.6600037,2296636.664,4823459.757
442,537.2000122,2297136.664,4823459.757
443,547.7399902,2297636.664,4823459.757
444,460.5799866,2298136.664,4823459.757
445,521.7000122,2298636.664,4823459.757
446,479.1099853,2299136.664,4823459.757
447,432.3399963,2299636.664,4823459.757
448,480.0799866,2300136.664,4823459.757
449,548.960022,2300636.664,4823459.757
450,595.8200073,2301136.664,4823459.757
451,612.3699951,2301636.664,4823459.757
452,721.9000244,2302136.664,4823459.757
453,631.4099731,2302636.664,4823459.757
454,707.75,2303136.664,4823459.757
455,765.4500122,2303636.664,4823459.757
456,639.0499878,2311636.664,4823459.757
457,658.2700195,2312636.664,4823459.757
458,322.3110046,2285636.664,4822959.757
459,303.7330017,2286136.664,4822959.757
460,301.8370056,2286636.664,4822959.757
461,299.7999878,2287136.664,4822959.757
462,298.4599915,2287636.664,4822959.757
463,297.6499939,2288136.664,4822959.757
464,297,2288636.664,4822959.757
465,296.3200073,2289136.664,4822959.757
466,295.230011,2289636.664,4822959.757
467,294.730011,2290136.664,4822959.757
468,294.269989,2290636.664,4822959.757
469,292.9200134,2291136.664,4822959.757
470,294.3699951,2291636.664,4822959.757
471,297.0400085,2292136.664,4822959.757
472,301.980011,2292636.664,4822959.757
473,307.9200134,2293136.664,4822959.757
474,317.8800049,2293636.664,4822959.757
475,326.730011,2294136.664,4822959.757
476,338.8999939,2294636.664,4822959.757
477,338.5299988,2295136.664,4822959.757
478,348.6700134,2295636.664,4822959.757
479,377.0599976,2296136.664,4822959.757
480,530.8099976,2296636.664,4822959.757
481,451.9500122,2297136.664,4822959.757
482,462.5499878,2297636.664,4822959.757
483,406.9200134,2298136.664,4822959.757
484,506.2999878,2298636.664,4822959.757
485,418.9299927,2299136.664,4822959.757
486,475.2000122,2299636.664,4822959.757
487,515.1400147,2300136.664,4822959.757
488,621.9099731,2300636.664,4822959.757
489,631.6199951,2301136.664,4822959.757
490,674.9299927,2301636.664,4822959.757
491,640.5700073,2302136.664,4822959.757
492,592.539978,2302636.664,4822959.757
493,633.7000122,2303136.664,4822959.757
494,710.3300171,2303636.664,4822959.757
495,741.210022,2306636.664,4822959.757
496,655.3400269,2307136.664,4822959.757
497,653.7199707,2307636.664,4822959.757
498,680.3400269,2311136.664,4822959.757
499,616.460022,2311636.664,4822959.757
500,686.460022,2312136.664,4822959.757
501,725.789978,2312636.664,4822959.757
502,615.75,2313136.664,4822959.757
503,351.7680054,2285636.664,4822459.757
504,315.6440124,2286136.664,4822459.757
505,302.071991,2286636.664,4822459.757
506,300.3800049,2287136.664,4822459.757
507,297.9200134,2287636.664,4822459.757
508,297.0700073,2288136.664,4822459.757
509,296.3999939,2288636.664,4822459.757
510,295.7399902,2289136.664,4822459.757
511,294.5799866,2289636.664,4822459.757
512,293.8500061,2290136.664,4822459.757
513,292.2799988,2290636.664,4822459.757
514,291.9700012,2291136.664,4822459.757
515,292.3500061,2291636.664,4822459.757
516,293.3999939,2292136.664,4822459.757
517,297.8900147,2292636.664,4822459.757
518,303.4100037,2293136.664,4822459.757
519,311.0400085,2293636.664,4822459.757
520,316.9299927,2294136.664,4822459.757
521,319.7799988,2294636.664,4822459.757
522,332.269989,2295136.664,4822459.757
523,341.75,2295636.664,4822459.757
524,373.230011,2296136.664,4822459.757
525,501.9400024,2296636.664,4822459.757
526,427.5799866,2297136.664,4822459.757
527,394.0499878,2297636.664,4822459.757
528,393.8999939,2298136.664,4822459.757
529,432.2099915,2298636.664,4822459.757
530,415.3999939,2299136.664,4822459.757
531,511.4500122,2299636.664,4822459.757
532,502.0299988,2300136.664,4822459.757
533,534.4500122,2300636.664,4822459.757
534,554.3599853,2301136.664,4822459.757
535,553.539978,2301636.664,4822459.757
536,580.9199829,2302136.664,4822459.757
537,542.460022,2302636.664,4822459.757
538,676.6900024,2303136.664,4822459.757
539,651.3599853,2303636.664,4822459.757
540,719.6900024,2304136.664,4822459.757
541,802.0999756,2304636.664,4822459.757
542,828.25,2306136.664,4822459.757
543,749.539978,2306636.664,4822459.757
544,682.2399902,2307136.664,4822459.757
545,740.7800293,2307636.664,4822459.757
546,765.9799805,2308136.664,4822459.757
547,756.0300293,2310636.664,4822459.757
548,587.8300171,2311136.664,4822459.757
549,645.7800293,2311636.664,4822459.757
550,682.4000244,2312136.664,4822459.757
551,713.4400024,2312636.664,4822459.757
552,589.2000122,2313136.664,4822459.757
553,683.1199951,2313636.664,4822459.757
554,826.9099731,2316636.664,4822459.757
555,341.0820007,2285136.664,4821959.757
556,337.428009,2285636.664,4821959.757
557,309.553009,2286136.664,4821959.757
558,302.0960083,2286636.664,4821959.757
559,299.6199951,2287136.664,4821959.757
560,296.6199951,2287636.664,4821959.757
561,295.9899902,2288136.664,4821959.757
562,295.6300049,2288636.664,4821959.757
563,294.480011,2289136.664,4821959.757
564,293.9500122,2289636.664,4821959.757
565,292.5799866,2290136.664,4821959.757
566,291.1900024,2290636.664,4821959.757
567,289.9599915,2291136.664,4821959.757
568,290.4200134,2291636.664,4821959.757
569,292.2200012,2292136.664,4821959.757
570,298.4100037,2292636.664,4821959.757
571,301.8900147,2293136.664,4821959.757
572,306.5599976,2293636.664,4821959.757
573,312.230011,2294136.664,4821959.757
574,317.730011,2294636.664,4821959.757
575,322.3399963,2295136.664,4821959.757
576,327.4899902,2295636.664,4821959.757
577,347.7000122,2296136.664,4821959.757
578,377.5499878,2296636.664,4821959.757
579,350.2099915,2297136.664,4821959.757
580,466.8699951,2297636.664,4821959.757
581,427.3999939,2298136.664,4821959.757
582,470.8399963,2298636.664,4821959.757
583,485.75,2299136.664,4821959.757
584,522.4099731,2299636.664,4821959.757
585,513.6599731,2300136.664,4821959.757
586,508.1300049,2300636.664,4821959.757
587,487.5899963,2301136.664,4821959.757
588,550.1799927,2301636.664,4821959.757
589,539.289978,2302136.664,4821959.757
590,553.25,2302636.664,4821959.757
591,605.3099976,2303136.664,4821959.757
592,593.8200073,2303636.664,4821959.757
593,676.9799805,2304136.664,4821959.757
594,737.8800049,2304636.664,4821959.757
595,720.539978,2305136.664,4821959.757
596,755.0599976,2305636.664,4821959.757
597,734.5499878,2306136.664,4821959.757
598,697.1400147,2306636.664,4821959.757
599,743.1099853,2307136.664,4821959.757
600,771.1599731,2307636.664,4821959.757
601,737.6400147,2308136.664,4821959.757
602,652.3400269,2308636.664,4821959.757
603,765.7600098,2310136.664,4821959.757
604,668.710022,2310636.664,4821959.757
605,669.1400147,2311136.664,4821959.757
606,701.0300293,2311636.664,4821959.757
607,624.3499756,2312136.664,4821959.757
608,711.539978,2312636.664,4821959.757
609,651.5700073,2313136.664,4821959.757
610,672.6300049,2313636.664,4821959.757
611,702.5700073,2314136.664,4821959.757
612,749.710022,2316136.664,4821959.757
613,846.1599731,2316636.664,4821959.757
614,896.7199707,2317136.664,4821959.757
615,306.0650024,2285136.664,4821459.757
616,303.9200134,2285636.664,4821459.757
617,299.9880066,2286136.664,4821459.757
618,299.0310059,2286636.664,4821459.757
619,297.5599976,2287136.664,4821459.757
620,295.3399963,2287636.664,4821459.757
621,294.7900085,2288136.664,4821459.757
622,295.019989,2288636.664,4821459.757
623,294.0499878,2289136.664,4821459.757
624,293.2399902,2289636.664,4821459.757
625,292.3099976,2290136.664,4821459.757
626,290.9500122,2290636.664,4821459.757
627,289.2600098,2291136.664,4821459.757
628,289.2799988,2291636.664,4821459.757
629,294.8299866,2292136.664,4821459.757
630,296.3200073,2292636.664,4821459.757
631,300.4700012,2293136.664,4821459.757
632,303.6300049,2293636.664,4821459.757
633,308.1199951,2294136.664,4821459.757
634,311.1499939,2294636.664,4821459.757
635,314.769989,2295136.664,4821459.757
636,320.3599853,2295636.664,4821459.757
637,326.0100098,2296136.664,4821459.757
638,338.980011,2296636.664,4821459.757
639,388,2297136.664,4821459.757
640,425.4899902,2297636.664,4821459.757
641,369.0700073,2298136.664,4821459.757
642,454.6499939,2298636.664,4821459.757
643,408.9200134,2299136.664,4821459.757
644,459.1300049,2299636.664,4821459.757
645,483.8099976,2300136.664,4821459.757
646,499.980011,2300636.664,4821459.757
647,466.3800049,2301136.664,4821459.757
648,459.8599853,2301636.664,4821459.757
649,536.210022,2302136.664,4821459.757
650,541.3400269,2302636.664,4821459.757
651,514.1900024,2303136.664,4821459.757
652,596.0200195,2303636.664,4821459.757
653,716.4000244,2304136.664,4821459.757
654,623.6400147,2304636.664,4821459.757
655,607.4099731,2305136.664,4821459.757
656,724.0300293,2305636.664,4821459.757
657,702,2306136.664,4821459.757
658,742.1699829,2306636.664,4821459.757
659,739.5200195,2307136.664,4821459.757
660,704.0499878,2307636.664,4821459.757
661,694.0300293,2308136.664,4821459.757
662,707.9699707,2310136.664,4821459.757
663,649.0900269,2310636.664,4821459.757
664,725.2800293,2311136.664,4821459.757
665,730.6400147,2311636.664,4821459.757
666,736.7000122,2312136.664,4821459.757
667,663.8300171,2312636.664,4821459.757
668,717.0900269,2313136.664,4821459.757
669,791.3800049,2313636.664,4821459.757
670,818.4799805,2314136.664,4821459.757
671,653.1099853,2315136.664,4821459.757
672,658.5700073,2316136.664,4821459.757
673,736.1599731,2316636.664,4821459.757
674,773.2000122,2317136.664,4821459.757
675,895.7700195,2317636.664,4821459.757
676,798.6900024,2318136.664,4821459.757
677,337.9949951,2285136.664,4820959.757
678,335.2789917,2285636.664,4820959.757
679,320.2650147,2286136.664,4820959.757
680,335.4119873,2286636.664,4820959.757
681,319.3200073,2287136.664,4820959.757
682,315.8900147,2287636.664,4820959.757
683,297.2000122,2288136.664,4820959.757
684,296.6199951,2288636.664,4820959.757
685,294.0799866,2289136.664,4820959.757
686,292.9100037,2289636.664,4820959.757
687,292.1499939,2290136.664,4820959.757
688,290.7600098,2290636.664,4820959.757
689,288.7600098,2291136.664,4820959.757
690,289.8999939,2291636.664,4820959.757
691,289.5299988,2292136.664,4820959.757
692,294.6799927,2292636.664,4820959.757
693,297.1000061,2293136.664,4820959.757
694,301,2293636.664,4820959.757
695,303.3699951,2294136.664,4820959.757
696,306.5299988,2294636.664,4820959.757
697,310.2200012,2295136.664,4820959.757
698,313.0299988,2295636.664,4820959.757
699,321.5,2296136.664,4820959.757
700,332.2900085,2296636.664,4820959.757
701,404.1099853,2297136.664,4820959.757
702,378.4700012,2297636.664,4820959.757
703,344.8599853,2298136.664,4820959.757
